id,temperature,irradiance,humidity,panel_age,maintenance_count,soiling_ratio,voltage,current,module_temperature,cloud_coverage,wind_speed,pressure,string_id,error_code,installation_type,efficiency
0,7.817315336,576.1792699,41.24308671,32.13550131,4,0.8031991409,37.40352671,1.963787043,13.69114732,62.49404444,12.82491203,1018.866505,A1,,,0.5620962485
1,24.78572741,240.0039734,1.359648277,19.97745993,8,0.4794558186,21.84331546,0.2414732915,27.5450961,43.8512383,12.01204366,1025.623854,D4,E00,dual-axis,0.39644739
2,46.65269526,687.612799,91.26536838,1.496400727,4,0.8223984756,48.22288151,4.191800244,43.36370807,,1.814399756,1010.922654,C3,E00,,0.5737760372
3,53.33956658,735.1411791,96.19095521,18.49158248,3,0.8375286368,46.29574817,0.9605670014,57.72043617,67.36147283,8.736258932,1021.846663,A1,,dual-axis,0.6290092301
4,5.575373704,12.24120284,27.495073,30.72269677,6,0.5518327212,0,0.898062081,6.786262732,3.632000026,0.5226838408,1008.555958,B2,E00,fixed,0.3418737229
5,16.54554117,174.4551233,86.11683466,29.85320214,5,0.9628801361,5.356320312,2.878067567,19.39229988,11.1708739,8.541404096,1006.95788,C3,E00,tracking,0.3761270807
6,18.72806433,531.9601008,91.25225388,20.67209904,4,0.9118211254,0.7063475839,2.131410848,26.52180824,31.73636055,3.593830062,1016.00508,A1,E00,fixed,0.5371956997
7,52.060643,420.9393519,22.07266455,4.106320441,3,0.5286939542,13.22852319,3.29923595,58.8848003,59.13587927,8.321732515,1030.49718,C3,E01,dual-axis,0.4668498196
8,24.18008041,495.7997106,48.4559888,12.02981342,8,0.6843265319,19.97657333,3.25572485,30.63933839,80.59504531,1.400463906,1012.800375,C3,,dual-axis,0.5386002931
9,37.89596903,286.7390181,8.023472097,34.62177673,9,0.8357601914,1.670913424,0.3514233762,49.29745395,34.35844585,4.676583638,1001.328785,C3,E02,tracking,0.3797708453
10,28.59648561,719.8494937,44.39160264,28.89179141,3,0.7092934929,2.832325674,1.859741359,35.33379575,25.72868696,0.440904807,1001.461108,C3,E00,,0.6334682277
11,,694.4479839,30.6663466,25.11585157,4,0.9982143958,0.6329359265,2.451902576,12.241706,75.99907218,3.074768628,1023.063529,C3,E02,dual-axis,0.7276330856
12,2.682374763,501.2738956,16.31974958,11.08457842,4,0.7823560817,20.927677,1.861088705,8.004641506,15.24388251,0.4670085649,1016.505323,B2,E02,,0.5767748279
13,17.64289901,781.8103017,55.58948094,6.504700849,2,0.884045917,30.25430588,0.5366143526,21.31312506,88.72194588,6.495105556,1024.145606,B2,E01,dual-axis,0.7185858495
